gender,belongatcc,soc,firstgen,raceclass,factsocial,factoutdoor,factacademic,factcounter,yearcat,female,newracec
1,4,white,not first gen-- one or both parents with four year degree,NFGW,3.3333333,3.3333333,3.2,3,junior,female,white
,,,,,,,,,,,
1,3,white,not first gen-- one or both parents with four year degree,NFGW,3.6666667,3,3.5999999,3.75,sophomore,female,white
,,,,,,,,,,,
1,,white,not first gen-- one or both parents with four year degree,NFGW,,,,,junior,female,white
0,,white,not first gen-- one or both parents with four year degree,NFGW,,3,3,,sophomore,male,white
0,4,white,not first gen-- one or both parents with four year degree,NFGW,2.8333333,3,2.5999999,2.75,senior,male,white
1,,white,not first gen-- one or both parents with four year degree,NFGW,,,,,junior,female,white
1,,white,not first gen-- one or both parents with four year degree,NFGW,,,,,senior,female,white
,,,,,,,,,,,
1,,soc,first gen-- neither parent has four year degree,FGSoC,,,,,senior,female,hispanic
,,,,,,,,,,,
,,,,,,,,,,,
1,,soc,first gen-- neither parent has four year degree,FGSoC,,,,,junior,female,multi
1,,white,first gen-- neither parent has four year degree,FGW,,3,3.4000001,,junior,female,white
0,4,white,not first gen-- one or both parents with four year degree,NFGW,3.6666667,3.6666667,3.75,2.75,senior,male,white
,,,,,,,,,,,
1,3,soc,not first gen-- one or both parents with four year degree,NFGSoC,3,2.6666667,2.8,3,junior,female,multi
0,,soc,not first gen-- one or both parents with four year degree,NFGSoC,,,,,sophomore,male,multi
,,,,,,,,,,,
,,,,,,,,,,,
1,,soc,not first gen-- one or both parents with four year degree,NFGSoC,,,,,freshman,female,multi
1,,soc,not first gen-- one or both parents with four year degree,NFGSoC,,,,,sophomore,female,multi
1,2,soc,not first gen-- one or both parents with four year degree,NFGSoC,3,1.6666666,3,3,senior,female,multi
1,,soc,first gen-- neither parent has four year degree,FGSoC,,,,,senior,female,multi
1,,white,not first gen-- one or both parents with four year degree,NFGW,,,,,senior,female,white
,,,,,,,,,,,
1,,white,not first gen-- one or both parents with four year degree,NFGW,,,,,sophomore,female,white
0,,soc,first gen-- neither parent has four year degree,FGSoC,,,,,junior,male,black
0,,white,first gen-- neither parent has four year degree,FGW,,,,,junior,male,white
1,,soc,not first gen-- one or both parents with four year degree,NFGSoC,,,,,freshman,female,multi
1,,white,not first gen-- one or both parents with four year degree,NFGW,,,,,junior,female,white
1,,white,not first gen-- one or both parents with four year degree,NFGW,,,,,senior,female,white
0,2,soc,not first gen-- one or both parents with four year degree,NFGSoC,3,1.6666666,3,2.75,junior,male,asian
1,3,soc,not first gen-- one or both parents with four year degree,NFGSoC,2.5,2.3333333,2.5999999,2.25,freshman,female,multi
1,,soc,not first gen-- one or both parents with four year degree,NFGSoC,,,,,sophomore,female,multi
,,,,,,,,,,,
1,3,white,not first gen-- one or both parents with four year degree,NFGW,2.6666667,3.3333333,3.2,3,freshman,female,white
1,,white,not first gen-- one or both parents with four year degree,NFGW,,,,,junior,female,white
1,,white,not first gen-- one or both parents with four year degree,NFGW,,,,,sophomore,female,white
