OID_,OBJECTID_1,GEOID10,NAMELSAD10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,OBJECTID,CBSA10_1,METRO_NAME,HRS2010,RHRS10,Shape_Leng,EQINTERV10,fips,pmin,fips_1,lifeExp,OID_1,FIPS_12,POPTOT,WHITENH,BLACKNH,AIANNH,ASIANNH,NHPINH,OTHERNH,TWOMORENH,LATINX,PWHITENH,PBLACKNH,PAIANNH,PASIANNH,PNHPINH,POTHERNH,PTWOMORENH,PLATINX,MHI,POVSTAT,POVBELOW,PPOV,eqint,Grade,Shape_Length,Shape_Area
1128,2090,06037600502,Census Tract 6005.02,749445.000000000000000,1504.000000000000000,+33.9280513,-118.3307284,0.000000000000000,31100.000000000000000,"Los Angeles-Long Beach, CA",3.000000000000000,3.000000000000000,0.043364527026400,3,6037600502.000000000000000,95.310000000000002,,78.799999999999997,,,2407,113,1099,0,86,0,0,27,1082,4.6900001,45.6599998,0.0000000,3.5699999,0.0000000,0.0000000,1.1200000,44.9500008,63182,2407,233,9.6800003,3,C,0.043364527026398,0.000073220255106
1129,2091,06037621201,Census Tract 6212.01,1636569.000000000000000,0.000000000000000,+33.8496251,-118.3827737,0.000000000000000,31100.000000000000000,"Los Angeles-Long Beach, CA",4.000000000000000,4.000000000000000,0.051586406393600,4,6037621201.000000000000000,42.600000000000001,,81.000000000000000,,,6601,3789,46,36,740,0,0,291,1699,57.4000015,0.7000000,0.5500000,11.2100000,0.0000000,0.0000000,4.4099998,25.7399998,114583,6537,300,4.5900002,4,D,0.051586406393602,0.000159426804434
1130,2092,06037620301,Census Tract 6203.01,1038671.000000000000000,0.000000000000000,+33.8984626,-118.4050812,0.000000000000000,31100.000000000000000,"Los Angeles-Long Beach, CA",3.000000000000000,3.000000000000000,0.043868501339600,3,6037620301.000000000000000,21.430000000000000,,87.000000000000000,,,4942,3883,0,53,244,0,0,253,509,78.5699997,0.0000000,1.0700001,4.9400001,0.0000000,0.0000000,5.1199999,10.3000002,160714,4933,156,3.1600001,3,C,0.043868501339557,0.000101239737986
1131,2093,06037620303,Census Tract 6203.03,1158102.000000000000000,0.000000000000000,+33.8915717,-118.4018082,0.000000000000000,31100.000000000000000,"Los Angeles-Long Beach, CA",3.000000000000000,3.000000000000000,0.047706853676100,3,6037620303.000000000000000,21.510000000000002,,82.500000000000000,,,4569,3586,1,0,497,0,0,209,276,78.4899979,0.0200000,0.0000000,10.8800001,0.0000000,0.0000000,4.5700002,6.0400000,181406,4569,43,0.9400000,3,C,0.047706853676073,0.000112871452993
1132,2094,06037620901,Census Tract 6209.01,873408.000000000000000,0.000000000000000,+33.8828078,-118.4003277,0.000000000000000,31100.000000000000000,"Los Angeles-Long Beach, CA",3.001827000000000,3.000000000000000,0.038890997757600,3,6037620901.000000000000000,26.910000000000000,,88.099999999999994,,,2943,2151,23,0,336,0,5,150,278,73.0899963,0.7800000,0.0000000,11.4200001,0.0000000,0.1700000,5.0999999,9.4499998,201125,2937,187,6.3699999,3,C,0.038890997757559,0.000085115872573
1133,2095,06037700700,Census Tract 7007,3530821.000000000000000,0.000000000000000,+34.0805214,-118.4165590,0.000000000000000,31100.000000000000000,"Los Angeles-Long Beach, CA",1.000000000000000,1.000000000000000,0.095697989720700,1,6037700700.000000000000000,14.080000000000000,,86.000000000000000,,,3537,3039,3,15,134,0,0,196,150,85.9199982,0.0800000,0.4200000,3.7900000,0.0000000,0.0000000,5.5400000,4.2399998,209890,3537,85,2.4000001,1,A,0.095697989720685,0.000344874437933
1134,2097,06037670100,Census Tract 6701,1450460.000000000000000,0.000000000000000,+33.7847676,-118.3159751,0.000000000000000,31100.000000000000000,"Los Angeles-Long Beach, CA",4.000000000000000,4.000000000000000,0.076932152049800,4,6037670100.000000000000000,57.079999999999998,,80.900000000000006,,,6742,2894,444,0,820,0,60,355,2169,42.9199982,6.5900002,0.0000000,12.1599998,0.0000000,0.8900000,5.2700000,32.1699982,60040,6694,1123,16.7800007,4,D,0.076932152049812,0.000141192072429
1135,2098,06037601402,Census Tract 6014.02,983301.000000000000000,0.000000000000000,+33.9509443,-118.3657334,0.000000000000000,31100.000000000000000,"Los Angeles-Long Beach, CA",3.046661000000000,3.000000000000000,0.039317005537800,3,6037601402.000000000000000,94.700000000000003,,81.599999999999994,,,4850,257,72,0,59,0,35,9,4418,5.3000002,1.4800000,0.0000000,1.2200000,0.0000000,0.7200000,0.1900000,91.0899963,55714,4850,699,14.4099998,3,C,0.039317005537833,0.000095900713471
1136,2099,06037552200,Census Tract 5522,1690842.000000000000000,980.000000000000000,+33.9087246,-118.0731800,0.000000000000000,31100.000000000000000,"Los Angeles-Long Beach, CA",3.000000000000000,3.000000000000000,0.068868064782900,3,6037552200.000000000000000,94.489999999999995,,77.400000000000006,,,5640,311,229,25,382,0,51,0,4642,5.5100002,4.0599999,0.4400000,6.7700000,0.0000000,0.9000000,0.0000000,82.3000031,47893,5640,1112,19.7199993,3,C,0.068868064782949,0.000164921805327
1137,2100,06037552100,Census Tract 5521,1461863.000000000000000,0.000000000000000,+33.9054717,-118.0880792,0.000000000000000,31100.000000000000000,"Los Angeles-Long Beach, CA",3.000000000000000,3.000000000000000,0.055620998358500,3,6037552100.000000000000000,90.609999999999999,,85.400000000000006,,,6527,613,280,0,923,0,0,43,4668,9.3900003,4.2900000,0.0000000,14.1400003,0.0000000,0.0000000,0.6600000,71.5199966,53393,6418,850,13.2399998,3,C,0.055620998358503,0.000142499826316
1138,2101,06037464100,Census Tract 4641,6266422.000000000000000,6273.000000000000000,+34.1202462,-118.1222337,0.000000000000000,31100.000000000000000,"Los Angeles-Long Beach, CA",1.016294000000000,1.000000000000000,0.139946466721000,1,6037464100.000000000000000,67.299999999999997,,84.900000000000006,,,7214,2359,55,0,4216,47,0,231,306,32.7000008,0.7600000,0.0000000,58.4399986,0.6500000,0.0000000,3.2000000,4.2399998,163092,7214,894,12.3900003,1,A,0.139946466720666,0.000612971433578
1139,2102,06037480600,Census Tract 4806,2329347.000000000000000,30202.000000000000000,+34.1193401,-118.1551292,0.000000000000000,31100.000000000000000,"Los Angeles-Long Beach, CA",2.419325000000000,2.400000000000000,0.089783317053200,2,6037480600.000000000000000,53.140000000000001,,84.099999999999994,,,7874,3690,320,18,1721,0,32,431,1662,46.8600006,4.0599999,0.2300000,21.8600006,0.0000000,0.4100000,5.4699998,21.1100006,77963,7759,806,10.3900003,2,B,0.089783317053152,0.000230573980221
1140,2103,06037480302,Census Tract 4803.02,1050467.000000000000000,0.000000000000000,+34.1012449,-118.1218022,0.000000000000000,31100.000000000000000,"Los Angeles-Long Beach, CA",2.992335000000000,3.000000000000000,0.045910526084200,3,6037480302.000000000000000,81.359999999999999,,84.400000000000006,,,4593,856,177,51,2011,0,0,128,1370,18.6399994,3.8499999,1.1100000,43.7799988,0.0000000,0.0000000,2.7900000,29.8299999,64028,4593,587,12.7799997,3,C,0.045910526084208,0.000102629156095
1141,2104,06037432202,Census Tract 4322.02,1382315.000000000000000,1122.000000000000000,+34.0859512,-118.0708948,0.000000000000000,31100.000000000000000,"Los Angeles-Long Beach, CA",3.000000000000000,3.000000000000000,0.062237047490000,3,6037432202.000000000000000,93.219999999999999,,86.200000000000003,,,4245,288,12,0,2451,0,0,26,1468,6.7800002,0.2800000,0.0000000,57.7400017,0.0000000,0.0000000,0.6100000,34.5800018,50583,4240,762,17.9699993,3,C,0.062237047489958,0.000135135595462
1142,2105,06037620521,Census Tract 6205.21,644213.000000000000000,0.000000000000000,+33.8764820,-118.3656204,0.000000000000000,31100.000000000000000,"Los Angeles-Long Beach, CA",4.000000000000000,4.000000000000000,0.031805758820900,4,6037620521.000000000000000,48.609999999999999,,78.799999999999997,,,4092,2103,116,0,728,21,16,514,594,51.3899994,2.8299999,0.0000000,17.7900009,0.5100000,0.3900000,12.5600004,14.5200005,125391,4092,220,5.3800001,4,D,0.031805758820860,0.000062775848766
1143,2106,06037620522,Census Tract 6205.22,748359.000000000000000,0.000000000000000,+33.8764601,-118.3749726,0.000000000000000,31100.000000000000000,"Los Angeles-Long Beach, CA",4.000000000000000,4.000000000000000,0.034535590797900,4,6037620522.000000000000000,47.399999999999999,,78.900000000000006,,,4968,2613,136,0,739,0,220,401,859,52.5999985,2.7400000,0.0000000,14.8800001,0.0000000,4.4299998,8.0699997,17.2900009,106654,4958,196,3.9500000,4,D,0.034535590797912,0.000072924407748
1144,2107,06037620701,Census Tract 6207.01,1019041.000000000000000,0.000000000000000,+33.8699758,-118.3812877,0.000000000000000,31100.000000000000000,"Los Angeles-Long Beach, CA",4.000000000000000,4.000000000000000,0.047540429958900,4,6037620701.000000000000000,36.680000000000000,,81.500000000000000,,,7184,4549,412,65,800,0,16,383,959,63.3199997,5.7300000,0.9000000,11.1400003,0.0000000,0.2200000,5.3299999,13.3500004,113789,7184,219,3.0500000,4,D,0.047540429958860,0.000099293399197
1145,2109,06037620601,Census Tract 6206.01,1365948.000000000000000,0.000000000000000,+33.8695960,-118.3619491,0.000000000000000,31100.000000000000000,"Los Angeles-Long Beach, CA",4.000000000000000,4.000000000000000,0.061577091745900,4,6037620601.000000000000000,53.380000000000003,,81.700000000000003,,,5030,2345,167,0,837,0,56,316,1309,46.6199989,3.3199999,0.0000000,16.6399994,0.0000000,1.1100000,6.2800002,26.0200005,87604,5030,290,5.7700000,4,D,0.061577091745850,0.000133095026833
1146,2110,06037621001,Census Tract 6210.01,929671.000000000000000,0.000000000000000,+33.8698051,-118.3938557,0.000000000000000,31100.000000000000000,"Los Angeles-Long Beach, CA",3.999193000000000,4.000000000000000,0.047768710794000,4,6037621001.000000000000000,27.750000000000000,,83.900000000000006,,,4457,3220,25,69,287,0,42,243,571,72.2500000,0.5600000,1.5500000,6.4400001,0.0000000,0.9400000,5.4499998,12.8100004,127750,4449,85,1.9100000,4,D,0.047768710793997,0.000090585451852
